task,input,output,possible_outputs
orthography_starts_with,Gilgamesh is in the dungeon. [g],gilgamesh,
orthography_starts_with,John laid the book on the table. [o],on,
orthography_starts_with,"To find a new mate, go to a dating service. [s]",service,
orthography_starts_with,Was the piano bought for Jane by Frank? [b],bought by,
orthography_starts_with,Ellen talked with Helen about the problem. [t],talked the,
orthography_starts_with,I stalked the woods for game. [w],woods,
orthography_starts_with,I wonder who and whose friends he handed over to the FBI. [w],wonder who whose,
orthography_starts_with,The monkey seems despondent that it is in a cage. [c],cage,
orthography_starts_with,Never had Sir Thomas been so offended. [h],had,
orthography_starts_with,Briana showed Justin himself. [s],showed,
orthography_starts_with,I detest taking a bath. [d],detest,
orthography_starts_with,We would like John to win. [t],to,
orthography_starts_with,It was John on whom the sheriff placed the blame. [i],it,
orthography_starts_with,What Jason asked was whether the potion was ready [r],ready,
orthography_starts_with,Smith threw the first baseman the ball. [f],first,
orthography_starts_with,The president Fred voted for has resigned. [p],president,
orthography_starts_with,Lopez says that he has done more than simply give a fresh coat of paint to the site. [m],more,
orthography_starts_with,Mary expected John to fix the computer. [j],john,
orthography_starts_with,Rarely is any lion majestic. [m],majestic,
orthography_starts_with,Who do you think Mary said John likes? [d],do,
orthography_starts_with,The fly fell into the soup. [i],into,
orthography_starts_with,The president that Fred voted for dislikes his opponents. [o],opponents,
orthography_starts_with,Jim was chopping logs when Margaret left and was still at it when she got back. [i],it,
orthography_starts_with,He made a statement everyone thought was interesting and important. [a],a and,
orthography_starts_with,We sleep five people in each room. [p],people,
orthography_starts_with,The medal was given to the soldier by Phillip. [m],medal,
orthography_starts_with,The big man from NY has often said that he gave peanuts to elephants. [b],big,
orthography_starts_with,We loaded ourselves onto the bus. [w],we,
orthography_starts_with,Mary will complete her exam within an hour. [c],complete,
orthography_starts_with,Who did he believe that he would one day meet? [w],who would,
orthography_starts_with,For him to win the race would surprise them. [f],for,
orthography_starts_with,Anybody who ever swears at me better watch his step. [s],swears step,
orthography_starts_with,This is the book which the teacher recommended. [b],book,
orthography_starts_with,The jeweller decorated the ring with the name. [w],with,
orthography_starts_with,I wonder whether Mary has worked for Microsoft. [i],i,
orthography_starts_with,John bought a book for the student. [j],john,
orthography_starts_with,"I was surprised that he stole the watch, in as far as that was a daring thing to do. [d]",daring do,
orthography_starts_with,I explained it to Bill that she was lying. [e],explained,
orthography_starts_with,My nephew could write letters to his parents with a fountain pen with your help. [y],your,
orthography_starts_with,"The higher the stakes are, the lower his expectations are. [s]",stakes,
orthography_starts_with,Andy gives freely of his time. [o],of,
orthography_starts_with,Lucy seems to have been mugged. [m],mugged,
orthography_starts_with,At p.m. I saw John lecturing to everyone who was near him. [p],p,
orthography_starts_with,The prisoner must have been being interrogated when the supervisor walked into the room and saw what was going on and put a stop to it. [g],going,
orthography_starts_with,Paula swatted the fly with a cloth. [a],a,
orthography_starts_with,The children like to berry in the summer. [l],like,
orthography_starts_with,Objection was taken to the length of our skirts. [o],objection of our,
orthography_starts_with,Dana is longing for a sunny day. [f],for,
orthography_starts_with,John will have been eating cake enthusiastically. [b],been,
orthography_starts_with,The sheriff denied that gangsters had bribed him. [g],gangsters,
orthography_starts_with,What did you buy at the supermarket? [t],the,
orthography_starts_with,Cynthia gobbled the pizza down . [p],pizza,
orthography_starts_with,We all thought him to be unhappy [u],unhappy,
orthography_starts_with,That Plato loved Aster proved to be his undoing. [l],loved,
orthography_starts_with,Jennifer baked Idaho potatoes. [b],baked,
orthography_starts_with,John is easy to please and to love. [i],is,
orthography_starts_with,Whether to win is a question Mary never considered. [q],question,
orthography_starts_with,Either Dana or Lee is going to lead the parade. [t],to the,
orthography_starts_with,When can we register for graduation? [c],can,
orthography_starts_with,The dentist was persuaded to examine Pat. [w],was,
orthography_starts_with,Birds sang in the trees. [t],the trees,
orthography_starts_with,I sent Mary money. [m],mary money,
orthography_starts_with,Burn letters to him! [t],to,
orthography_starts_with,He blew up the building. [h],he,
orthography_starts_with,The ball lies in the box. [b],ball box,
orthography_starts_with,"His analysis, I never liked. [h]",his,
orthography_starts_with,That anybody ever left at all is not known. [t],that,
orthography_starts_with,"The tall, handsome man kicked the ball. [m]",man,
orthography_starts_with,Bill sold Tom a car. [t],tom,
orthography_starts_with,Pat is likely to be examined by the dentist. [i],is,
orthography_starts_with,Bill gave me . [m],me,
orthography_starts_with,She will put a picture of Bill on your desk before tomorrow. [w],will,
orthography_starts_with,This book is easy to read. [b],book,
orthography_starts_with,No boys will put a picture of Bill on your desk before tomorrow. [p],put picture,
orthography_starts_with,I am not certain about when he will come. [i],i,
orthography_starts_with,The bed was unmade. [t],the,
orthography_starts_with,We felled the murder with this chainsaw. [t],the this,
orthography_starts_with,John is as tall as that man. [i],is,
orthography_starts_with,The man whose car I hit last week sued me. [m],man me,
orthography_starts_with,Two or three books take a very long time to read. [t],two three take time to,
orthography_starts_with,Sally eats caviar too much for her own good. [c],caviar,
orthography_starts_with,Smith inscribed the ring with his name. [s],smith,
orthography_starts_with,It is a picture of Bill that this girl in the red coat will put on your desk before tomorrow. [r],red,
orthography_starts_with,Tom hid the manuscript in the cupboard. [c],cupboard,
orthography_starts_with,"The more that pictures of him appear in the news, the more likely John is to get arrested. [o]",of,
orthography_starts_with,The DA proved Jones guilty and the Assistant DA will prove Smith. [a],and assistant,
orthography_starts_with,No boys will put a picture of Bill on your desk before tomorrow. [n],no,
orthography_starts_with,In the hallway ticked a grandfather clock. [g],grandfather,
orthography_starts_with,The chef eats beans and serves salads with forks. [b],beans,
orthography_starts_with,John scratched his arm and the boy who knew Mary scratched her arm. [j],john,
orthography_starts_with,In the hallway there ticked a grandfather clock. [t],the there ticked,
orthography_starts_with,Why do you think he left? [h],he,
orthography_starts_with,I am ashamed that I neglected you. [t],that,
orthography_starts_with,I prefer for the girl to put a picture there. [a],a,
orthography_starts_with,Rory will eat the muffins. [m],muffins,
orthography_starts_with,Which pictures of Bill did she put on your desk. [d],did desk,
orthography_starts_with,The police might plant the drugs in the apartment. [d],drugs,
orthography_starts_with,I explained how we should fix the sink. [w],we,
orthography_starts_with,Pat persuaded Leslie to be aggressive. [b],be,
orthography_starts_with,"John gave Mary, and Joan presented to Fred, books which looked. [f]",fred,
orthography_starts_with,On which bed does Tom sleep? [w],which,
orthography_starts_with,John liked anything that was placed before him. [w],was,
orthography_starts_with,The sign warned against skating on the pond. [a],against,
orthography_starts_with,She asked a man who was near the window whether it looked like rain. [a],asked a,
orthography_starts_with,Humans love to eat those pigs. [h],humans,
orthography_starts_with,Heidi thinks that she has won. [s],she,
orthography_starts_with,We peered around the room. [a],around,
orthography_starts_with,Harry got to be more of the celebrity. [o],of,
orthography_starts_with,She spruced herself up before the job interview. [s],she spruced,
orthography_starts_with,She stipulated her way out of the problem. [w],way,
orthography_starts_with,John and Mary met in Vienna. [v],vienna,
orthography_starts_with,"They spoke to the janitor about that robbery yesterday, the cops. [a]",about,
orthography_starts_with,For Anna to tickle him drives Frank crazy. [c],crazy,
orthography_starts_with,Three relatives of mine inherited a house. [m],mine,
orthography_starts_with,They think she has too much independence. [h],has,
orthography_starts_with,Carla poured lemonade into the pitcher. [c],carla,
orthography_starts_with,Pilots who can fly barrel rolls say that for me to try to do it in a glider would be hazardous. [s],say,
orthography_starts_with,I prefer for the girl to put a picture there. [t],the to there,
orthography_starts_with,Any woman who heard the news contributed to the fund. [n],news,
orthography_starts_with,The girls wondered who Mr Bennet had received in his library. [m],mr,
orthography_starts_with,"It is not entirely clear if the more you eat, the less you want. [e]",entirely eat,
orthography_starts_with,We believed him to be the headmaster [w],we,
orthography_starts_with,She waltzed across the floor. [w],waltzed,
orthography_starts_with,Water bubbled out of the kettle. [b],bubbled,
orthography_starts_with,Reports the covers of which the government prescribes the height of the lettering on almost always put me to sleep. [h],height,
orthography_starts_with,Which politician appointed the journalist who supported him? [p],politician,
orthography_starts_with,"If you take a dry match and strike it, it lights. [m]",match,
orthography_starts_with,He attributed the fire to a short circuit. [a],attributed a,
orthography_starts_with,Ethel was sitting at her desk. [a],at,
orthography_starts_with,The Canadian bought himself a barbecue. [h],himself,
orthography_starts_with,That Patrick left is likely. [i],is,
orthography_starts_with,Ellen warned Helen that melons were selling. [m],melons,
orthography_starts_with,So fast did you run that everyone gasped. [s],so,
orthography_starts_with,Barbara handed the intriguing results of the latest examination to Alan on Tuesday. [r],results,
orthography_starts_with,John put the book on the table with a pair of tongs. [o],on of,
orthography_starts_with,Mary or Sue could tell you that. [y],you,
orthography_starts_with,The official to whom Smith loaned the money has been indicted. [o],official,
orthography_starts_with,I have wanted to meet the man who spent so much money planning the assassination of Kennedy for many years. [w],wanted who,
orthography_starts_with,The cat was sleeping in the kitchen. [s],sleeping,
orthography_starts_with,"We consider Leslie rather foolish, and Lou a complete idiot. [l]",leslie lou,
orthography_starts_with,I consider him immoral. [c],consider,
orthography_starts_with,He always eats deep fried muffins. [h],he,
orthography_starts_with,With which club did you hit the winning putt? [w],with which winning,
orthography_starts_with,This building got taller and wider than that one. [g],got,
orthography_starts_with,What Tom said Al thought you wanted me to make Jack put on was this hat. [o],on,
orthography_starts_with,Nora pushed the chair. [p],pushed,
orthography_starts_with,George wrote a volume of poems in Latin for Jane. [i],in,
orthography_starts_with,Anne met with Cathy. [m],met,
orthography_starts_with,Aphrodite may quickly free the animals. [a],aphrodite animals,
orthography_starts_with,Few doctors approve of our remedy. [o],of our,
orthography_starts_with,It was the girl who kicked the ball. [g],girl,
orthography_starts_with,John will kick the ball. [w],will,
orthography_starts_with,The maple changed into an oak from a cedar. [t],the,
orthography_starts_with,Carol cut the bread with a knife. [c],carol cut,
orthography_starts_with,"Broadly speaking, the project was successful. [p]",project,
orthography_starts_with,We peered around the room. [r],room,
orthography_starts_with,Carol carved the marble with a chisel. [m],marble,
orthography_starts_with,The message was that you should come on time. [m],message,
orthography_starts_with,"John sang a song, Mary played the piano. [m]",mary,
orthography_starts_with,We proclaimed John sincerely to be a hero. [j],john,
orthography_starts_with,"John has two sisters, who became lawyers. [b]",became,
orthography_starts_with,Ron heard a discussion in the foyer [f],foyer,
orthography_starts_with,How do you think that Mary solved the problem? [y],you,
orthography_starts_with,John learned French perfectly immediately. [j],john,
orthography_starts_with,Fred gave flowers to his sweetie because Frank had. [s],sweetie,
orthography_starts_with,The tornadoes that tear through this county every spring are more than just a nuisance. [c],county,
orthography_starts_with,"John hummed, and Mary sang, the same tune. [h]",hummed,
orthography_starts_with,John hit the stone against the wall. [s],stone,
orthography_starts_with,I am frightened of tigers and fond of clowns without exception. [i],i,
orthography_starts_with,Sharks could have been cruising near the beach. [n],near,
orthography_starts_with,The piano kicked a student. [p],piano,
orthography_starts_with,"Sandy must, too. [t]",too,
orthography_starts_with,I wonder on which shelf John will put the book? [s],shelf,
orthography_starts_with,Is there anything I can do for you? [f],for,
orthography_starts_with,Robert thinks that student should eat asparagus. [e],eat,
orthography_starts_with,John promised Mary that he would leave. [m],mary,
orthography_starts_with,Jason persuaded Medea to desert her family. [m],medea,
rhymes,oil,spoil,"['oil', 'boil', 'spoil']"
rhymes,agree,see,"['she', 'me', 'he', 'tea', 'key', 'we', 'see', 'tree', 'sea', 'agree', 'degree', 'free', 'disagree', 'fee', 'bee', 'ski', 'pea', 'knee']"
rhymes,see,bee,"['she', 'me', 'he', 'tea', 'key', 'we', 'see', 'tree', 'sea', 'agree', 'degree', 'free', 'disagree', 'fee', 'bee', 'ski', 'pea', 'knee']"
rhymes,less,guess,"['dress', 'yes', 'chess', 'guess', 'less', 'mess', 'press', 'undress', 'success', 'stress']"
rhymes,doubt,shout,"['about', 'shout', 'out', 'doubt']"
rhymes,relaxation,celebration,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,tie,fry,"['die', 'eye', 'buy', 'my', 'bye', 'goodbye', 'fly', 'hi', 'by', 'sky', 'high', 'guy', 'lie', 'try', 'cry', 'tie', 'dry', 'pie', 'spy', 'apply', 'fry', 'shy', 'nearby']"
rhymes,free,agree,"['she', 'me', 'he', 'tea', 'key', 'we', 'see', 'tree', 'sea', 'agree', 'degree', 'free', 'disagree', 'fee', 'bee', 'ski', 'pea', 'knee']"
rhymes,condition,composition,"['competition', 'condition', 'permission', 'position', 'politician', 'composition', 'ambition', 'intermission', 'expedition', 'musician', 'exhibition']"
rhymes,dresser,professor,"['dresser', 'professor']"
rhymes,fare,questionnaire,"['pair', 'chair', 'their', 'wear', 'hair', 'there', 'fair', 'prepare', 'share', 'square', 'repair', 'pear', 'bear', 'air', 'declare', 'questionnaire', 'spare', 'rare', 'fare', 'care', 'compare']"
rhymes,offense,sense,"['defense', 'sense', 'offense', 'tense']"
rhymes,correct,expect,"['correct', 'collect', 'incorrect', 'select', 'expect', 'connect', 'protect']"
rhymes,gate,state,"['late', 'plate', 'date', 'wait', 'great', 'straight', 'hate', 'skate', 'gate', 'state', 'create', 'weight']"
rhymes,presentation,station,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,beach,teach,"['beach', 'each', 'teach', 'peach', 'speech', 'reach']"
rhymes,shake,lake,"['make', 'cake', 'take', 'break', 'steak', 'snake', 'bake', 'lake', 'mistake', 'awake', 'shake', 'ache', 'brake']"
rhymes,bill,kill,"['until', 'bill', 'fill', 'till', 'hill', 'kill', 'still', 'skill', 'grill', 'pill', 'spill']"
rhymes,organization,examination,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,old,gold,"['cold', 'old', 'hold', 'gold', 'fold']"
rhymes,preparation,generation,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,explanation,conversation,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,quit,admit,"['sit', 'hit', 'fit', 'quit', 'admit', 'knit', 'bit', 'kit']"
rhymes,war,pour,"['floor', 'more', 'store', 'door', 'war', 'drawer', 'anymore', 'score', 'explore', 'shore', 'pour', 'sore']"
rhymes,cry,buy,"['die', 'eye', 'buy', 'my', 'bye', 'goodbye', 'fly', 'hi', 'by', 'sky', 'high', 'guy', 'lie', 'try', 'cry', 'tie', 'dry', 'pie', 'spy', 'apply', 'fry', 'shy', 'nearby']"
rhymes,fair,fare,"['pair', 'chair', 'their', 'wear', 'hair', 'there', 'fair', 'prepare', 'share', 'square', 'repair', 'pear', 'bear', 'air', 'declare', 'questionnaire', 'spare', 'rare', 'fare', 'care', 'compare']"
rhymes,brown,clown,"['down', 'town', 'brown', 'noun', 'clown', 'downtown']"
rhymes,pig,dig,"['big', 'pig', 'dig']"
rhymes,jam,exam,"['exam', 'gram', 'tram', 'jam', 'ham', 'lamb', 'damn']"
rhymes,chess,mess,"['dress', 'yes', 'chess', 'guess', 'less', 'mess', 'press', 'undress', 'success', 'stress']"
rhymes,depressed,breast,"['best', 'test', 'dressed', 'rest', 'guest', 'west', 'northwest', 'stressed', 'arrest', 'breast', 'depressed', 'southwest', 'suggest']"
rhymes,review,too,"['too', 'who', 'you', 'do', 'zoo', 'blue', 'shoe', 'view', 'shampoo', 'through', 'flu', 'review', 'crew', 'kangaroo', 'few']"
rhymes,fry,sky,"['die', 'eye', 'buy', 'my', 'bye', 'goodbye', 'fly', 'hi', 'by', 'sky', 'high', 'guy', 'lie', 'try', 'cry', 'tie', 'dry', 'pie', 'spy', 'apply', 'fry', 'shy', 'nearby']"
rhymes,year,appear,"['near', 'dear', 'beer', 'year', 'clear', 'engineer', 'fear', 'souvenir', 'career', 'appear']"
rhymes,imagination,preparation,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,information,transportation,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,speak,antique,"['speak', 'week', 'weak', 'technique', 'cheek', 'peak', 'antique']"
rhymes,sea,see,"['she', 'me', 'he', 'tea', 'key', 'we', 'see', 'tree', 'sea', 'agree', 'degree', 'free', 'disagree', 'fee', 'bee', 'ski', 'pea', 'knee']"
rhymes,eye,high,"['die', 'eye', 'buy', 'my', 'bye', 'goodbye', 'fly', 'hi', 'by', 'sky', 'high', 'guy', 'lie', 'try', 'cry', 'tie', 'dry', 'pie', 'spy', 'apply', 'fry', 'shy', 'nearby']"
rhymes,souvenir,near,"['near', 'dear', 'beer', 'year', 'clear', 'engineer', 'fear', 'souvenir', 'career', 'appear']"
rhymes,registration,information,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,organization,operation,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,presentation,information,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,explanation,generation,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,me,tree,"['she', 'me', 'he', 'tea', 'key', 'we', 'see', 'tree', 'sea', 'agree', 'degree', 'free', 'disagree', 'fee', 'bee', 'ski', 'pea', 'knee']"
rhymes,but,shut,"['cut', 'shut', 'but', 'hut']"
rhymes,search,church,"['church', 'search']"
rhymes,toe,grow,"['no', 'snow', 'go', 'slow', 'oh', 'know', 'show', 'toe', 'throw', 'grow', 'ago', 'so', 'low', 'sew', 'blow', 'row', 'owe']"
rhymes,you,shampoo,"['too', 'who', 'you', 'do', 'zoo', 'blue', 'shoe', 'view', 'shampoo', 'through', 'flu', 'review', 'crew', 'kangaroo', 'few']"
rhymes,reservation,location,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,intermission,permission,"['competition', 'condition', 'permission', 'position', 'politician', 'composition', 'ambition', 'intermission', 'expedition', 'musician', 'exhibition']"
rhymes,space,race,"['place', 'face', 'space', 'case', 'race']"
rhymes,sore,floor,"['floor', 'more', 'store', 'door', 'war', 'drawer', 'anymore', 'score', 'explore', 'shore', 'pour', 'sore']"
rhymes,drawer,sore,"['floor', 'more', 'store', 'door', 'war', 'drawer', 'anymore', 'score', 'explore', 'shore', 'pour', 'sore']"
rhymes,so,snow,"['no', 'snow', 'go', 'slow', 'oh', 'know', 'show', 'toe', 'throw', 'grow', 'ago', 'so', 'low', 'sew', 'blow', 'row', 'owe']"
rhymes,ambition,composition,"['competition', 'condition', 'permission', 'position', 'politician', 'composition', 'ambition', 'intermission', 'expedition', 'musician', 'exhibition']"
rhymes,hut,shut,"['cut', 'shut', 'but', 'hut']"
rhymes,see,key,"['she', 'me', 'he', 'tea', 'key', 'we', 'see', 'tree', 'sea', 'agree', 'degree', 'free', 'disagree', 'fee', 'bee', 'ski', 'pea', 'knee']"
rhymes,quite,despite,"['invite', 'light', 'night', 'right', 'write', 'flight', 'bright', 'kite', 'polite', 'quite', 'site', 'might', 'fight', 'despite', 'overnight', 'tight', 'bite', 'sight', 'height']"
rhymes,invite,quite,"['invite', 'light', 'night', 'right', 'write', 'flight', 'bright', 'kite', 'polite', 'quite', 'site', 'might', 'fight', 'despite', 'overnight', 'tight', 'bite', 'sight', 'height']"
rhymes,do,view,"['too', 'who', 'you', 'do', 'zoo', 'blue', 'shoe', 'view', 'shampoo', 'through', 'flu', 'review', 'crew', 'kangaroo', 'few']"
rhymes,presentation,relaxation,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,cheek,peak,"['speak', 'week', 'weak', 'technique', 'cheek', 'peak', 'antique']"
rhymes,persuade,trade,"['lemonade', 'grade', 'afraid', 'persuade', 'trade', 'shade']"
rhymes,relaxation,occupation,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,stain,champagne,"['plane', 'rain', 'train', 'explain', 'brain', 'chain', 'pain', 'champagne', 'stain', 'complain', 'contain', 'main', 'gain', 'plain']"
rhymes,information,conversation,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,sight,quite,"['invite', 'light', 'night', 'right', 'write', 'flight', 'bright', 'kite', 'polite', 'quite', 'site', 'might', 'fight', 'despite', 'overnight', 'tight', 'bite', 'sight', 'height']"
rhymes,track,pack,"['black', 'back', 'pack', 'snack', 'track', 'attack', 'unpack']"
rhymes,chin,pin,"['begin', 'violin', 'thin', 'win', 'skin', 'pin', 'twin', 'chin']"
rhymes,she,me,"['she', 'me', 'he', 'tea', 'key', 'we', 'see', 'tree', 'sea', 'agree', 'degree', 'free', 'disagree', 'fee', 'bee', 'ski', 'pea', 'knee']"
rhymes,shave,cave,"['save', 'cave', 'brave', 'behave', 'shave', 'wave']"
rhymes,dry,lie,"['die', 'eye', 'buy', 'my', 'bye', 'goodbye', 'fly', 'hi', 'by', 'sky', 'high', 'guy', 'lie', 'try', 'cry', 'tie', 'dry', 'pie', 'spy', 'apply', 'fry', 'shy', 'nearby']"
rhymes,champagne,main,"['plane', 'rain', 'train', 'explain', 'brain', 'chain', 'pain', 'champagne', 'stain', 'complain', 'contain', 'main', 'gain', 'plain']"
rhymes,cry,pie,"['die', 'eye', 'buy', 'my', 'bye', 'goodbye', 'fly', 'hi', 'by', 'sky', 'high', 'guy', 'lie', 'try', 'cry', 'tie', 'dry', 'pie', 'spy', 'apply', 'fry', 'shy', 'nearby']"
rhymes,date,wait,"['late', 'plate', 'date', 'wait', 'great', 'straight', 'hate', 'skate', 'gate', 'state', 'create', 'weight']"
rhymes,class,gas,"['grass', 'glass', 'class', 'gas', 'pass']"
rhymes,yes,press,"['dress', 'yes', 'chess', 'guess', 'less', 'mess', 'press', 'undress', 'success', 'stress']"
rhymes,care,there,"['pair', 'chair', 'their', 'wear', 'hair', 'there', 'fair', 'prepare', 'share', 'square', 'repair', 'pear', 'bear', 'air', 'declare', 'questionnaire', 'spare', 'rare', 'fare', 'care', 'compare']"
rhymes,repair,wear,"['pair', 'chair', 'their', 'wear', 'hair', 'there', 'fair', 'prepare', 'share', 'square', 'repair', 'pear', 'bear', 'air', 'declare', 'questionnaire', 'spare', 'rare', 'fare', 'care', 'compare']"
rhymes,ahead,red,"['red', 'head', 'bread', 'bed', 'instead', 'dead', 'ahead']"
rhymes,key,ski,"['she', 'me', 'he', 'tea', 'key', 'we', 'see', 'tree', 'sea', 'agree', 'degree', 'free', 'disagree', 'fee', 'bee', 'ski', 'pea', 'knee']"
rhymes,thriller,killer,"['killer', 'thriller']"
rhymes,do,review,"['too', 'who', 'you', 'do', 'zoo', 'blue', 'shoe', 'view', 'shampoo', 'through', 'flu', 'review', 'crew', 'kangaroo', 'few']"
rhymes,vacation,situation,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,speak,technique,"['speak', 'week', 'weak', 'technique', 'cheek', 'peak', 'antique']"
rhymes,agree,pea,"['she', 'me', 'he', 'tea', 'key', 'we', 'see', 'tree', 'sea', 'agree', 'degree', 'free', 'disagree', 'fee', 'bee', 'ski', 'pea', 'knee']"
rhymes,skill,until,"['until', 'bill', 'fill', 'till', 'hill', 'kill', 'still', 'skill', 'grill', 'pill', 'spill']"
rhymes,spy,pie,"['die', 'eye', 'buy', 'my', 'bye', 'goodbye', 'fly', 'hi', 'by', 'sky', 'high', 'guy', 'lie', 'try', 'cry', 'tie', 'dry', 'pie', 'spy', 'apply', 'fry', 'shy', 'nearby']"
rhymes,operation,conversation,"['station', 'vacation', 'conversation', 'invitation', 'examination', 'occupation', 'identification', 'information', 'preparation', 'operation', 'generation', 'celebration', 'situation', 'imagination', 'animation', 'relaxation', 'population', 'punctuation', 'reservation', 'presentation', 'location', 'transportation', 'registration', 'application', 'explanation', 'communication', 'relation', 'organization', 'immigration']"
rhymes,date,skate,"['late', 'plate', 'date', 'wait', 'great', 'straight', 'hate', 'skate', 'gate', 'state', 'create', 'weight']"
rhymes,pillow,kilo,"['kilo', 'pillow']"
rhymes,ring,sing,"['sing', 'thing', 'king', 'ring', 'bring', 'wing']"
